EIK;Eik Fasteignafélag;realestate;
Date;Bid;Ask;Opening price;High price;Low price;Closing price;Average price;Total volume;Turnover;Trades;
2020-11-13;8,32;8,42;8,35;8,36;8,35;8,36;8,356;3500000;29245000;2;
2020-11-12;8,37;8,47;8,65;8,65;8,37;8,37;8,526;15340111;130786229,07;12;
2020-11-11;8,59;8,70;8,845;8,85;8,62;8,62;8,748;9524772;83317993,6;9;
2020-11-10;8,80;8,90;8,49;8,85;8,49;8,80;8,679;28206455;244811104,6;35;
2020-11-09;8,30;8,40;7,71;8,42;7,71;8,35;8,154;28305321;230794944,67;21;
2020-11-06;7,57;7,65;7,50;7,67;7,50;7,62;7,597;25893282;196713796,92;13;
2020-11-05;7,40;7,51;7,315;7,46;7,315;7,455;7,409;13675000;101311250;9;
2020-11-04;7,26;7,36;7,26;7,26;7,26;7,26;7,26;5007500;36354450;2;
2020-11-03;7,27;7,32;7,28;7,28;7,27;7,27;7,271;7000000;50900000;2;
2020-11-02;7,27;7,34;7,27;7,27;7,27;7,27;7,27;6000;43620;1;
2020-10-30;7,25;7,32;7,40;7,42;7,27;7,27;7,353;20000000;147050000;13;
2020-10-29;7,40;7,48;7,40;7,40;7,40;7,40;7,40;1500000;11100000;1;
2020-10-28;7,30;7,36;7,41;7,41;7,30;7,30;7,37;9627700;70950210;7;
2020-10-27;7,50;7,59;;;;7,53;;;;0;
2020-10-26;7,49;7,59;7,58;7,60;7,53;7,53;7,555;3022500;22836179;4;
2020-10-23;7,58;7,69;7,65;7,65;7,65;7,65;7,65;3566000;27279900;4;
2020-10-22;7,58;7,67;7,65;7,65;7,64;7,65;7,645;3026000;23133900;3;
2020-10-21;7,64;7,70;7,66;7,70;7,64;7,64;7,682;7670000;58919500;6;
2020-10-20;7,57;7,62;7,55;7,62;7,54;7,615;7,606;24014100;182657442;8;
2020-10-19;7,47;7,51;7,41;7,51;7,40;7,51;7,44;12730000;94707300;9;
2020-10-16;7,42;7,52;7,45;7,62;7,45;7,47;7,529;35578400;267855779;21;
2020-10-15;7,34;7,45;7,46;7,46;7,35;7,41;7,412;16189117;119986802,56;9;
