EIM;Eimskip;shipping
Date;Bid;Ask;Opening price;High price;Low price;Closing price;Average price;Total volume;Turnover;Trades;
2020-11-16;198,00;200,00;188,00;200,00;188,00;200,00;194,471;757150;147243606;27;
2020-11-13;187,50;190,00;186,50;190,00;185,50;190,00;187,408;275897;51705187,5;6;
2020-11-12;186,00;188,50;186,00;186,00;186,00;186,00;186,00;2950;548700;2;
2020-11-11;185,50;188,00;187,00;187,00;185,50;185,50;186,614;67358;12569909;4;
2020-11-10;188,00;190,50;189,00;191,50;188,50;189,00;190,244;284500;54124500;7;
2020-11-09;187,00;189,50;183,00;187,50;183,00;187,50;186,36;120217;22403660;6;
2020-11-06;181,50;183,00;183,50;183,50;182,00;182,00;182,75;100000;18275000;4;
2020-11-05;183,50;186,00;186,00;186,00;186,00;186,00;186,00;1183657;216160202;10;
2020-11-04;186,00;188,50;188,50;188,50;188,50;188,50;188,50;300;56550;1;
2020-11-03;186,00;188,50;186,00;186,00;186,00;186,00;186,00;4000;744000;1;
2020-11-02;186,00;188,00;188,00;190,50;187,50;188,00;187,961;60300;11334075;6;
2020-10-30;187,00;192,50;189,00;193,00;187,00;187,00;189,745;376887;71512377;13;
2020-10-29;180,00;189,00;;;;180,00;;;;0;
2020-10-28;177,50;189,00;188,00;188,00;176,00;180,00;187,357;89531;16774228;10;
2020-10-27;187,00;189,00;182,00;188,00;181,00;188,00;183,228;145140;26593690;11;
2020-10-26;175,50;182,00;175,50;182,00;175,50;182,00;176,295;5478;965744;3;
2020-10-23;176,00;187,00;182,00;188,00;182,00;188,00;186,723;4700;877600;4;
2020-10-22;178,00;189,00;180,00;188,00;178,00;188,00;185,267;334865;61821408;12;
2020-10-21;176,00;185,00;173,50;182,00;171,00;182,00;175,878;3409241;587174371;52;
2020-10-20;165,00;167,00;167,50;167,50;167,50;167,50;167,50;4829;808857,5;3;
2020-10-19;165,00;167,50;160,00;167,50;160,00;167,50;164,058;995350;163295450;24;
2020-10-16;158,00;159,00;151,00;159,50;151,00;159,50;155,174;278340;43191165;20;
2020-10-15;147,00;153,50;143,50;150,00;143,50;149,00;147,163;444200;65370000;17;
2020-10-14;142,00;145,00;140,50;144,00;140,50;144,00;142,781;315072;44986132;8;
2020-10-13;138,50;140,00;138,00;139,00;138,00;138,50;138,424;89100;12333600;5;
2020-10-12;136,00;137,50;136,00;138,00;136,00;136,00;137,42;3626;498286;4;
2020-10-09;136,00;138,00;134,50;136,50;134,50;136,50;135,735;118800;16125327,5;5;
2020-10-08;135,00;137,00;134,00;135,50;134,00;135,50;134,75;100000;13475000;2;
2020-10-07;131,50;133,50;;;;132,50;;;;0;
2020-10-06;131,50;132,50;132,50;132,50;132,50;132,50;132,50;200;26500;1;
2020-10-05;131,00;132,50;132,50;132,50;132,50;132,50;132,50;2900;384250;2;
2020-10-02;131,00;132,50;132,50;132,50;132,50;132,50;132,50;200;26500;1;
2020-10-01;132,00;132,50;;;;132,00;;;;0;
2020-09-30;130,50;132,00;132,00;132,00;130,50;132,00;131,967;519294;68529688,5;6;
2020-09-29;130,50;132,00;131,25;132,00;131,00;132,00;131,102;250519;32843508;5;
2020-09-28;131,00;132,00;130,50;131,00;130,50;131,00;130,753;103387;13518197;6;
2020-09-25;130,50;132,00;133,50;133,50;130,00;131,25;131,187;1997654;262066700;29;
2020-09-24;137,00;139,00;138,00;138,00;138,00;138,00;138,00;680;93840;1;
2020-09-23;138,00;139,00;;;;138,00;;;;0;
2020-09-22;137,00;138,00;137,00;138,00;137,00;138,00;137,088;264500;36251000;3;
2020-09-21;135,00;137,00;136,50;136,50;136,50;136,50;136,50;100000;13650000;1;
2020-09-18;139,00;140,00;;;;139,00;;;;0;
2020-09-17;138,00;140,00;138,00;139,00;137,50;139,00;138,573;167700;23238600;5;
2020-09-16;139,00;140,00;140,00;140,00;139,00;139,00;139,809;2720;380280;4;
2020-09-15;139,00;140,00;139,00;139,00;139,00;139,00;139,00;72000;10008000;2;
2020-09-14;139,00;140,00;;;;140,00;;;;0;
2020-09-11;139,50;141,00;140,00;140,00;140,00;140,00;140,00;4850;679000;3;
2020-09-10;140,00;141,50;140,00;140,00;140,00;140,00;140,00;50000;7000000;1;
2020-09-09;140,50;142,50;;;;142,50;;;;0;
2020-09-08;142,00;143,00;141,50;142,50;141,50;142,50;141,90;125000;17737500;2;
