ICEAIR;Icelandair;aircarrier
Date;Bid;Ask;Opening price;High price;Low price;Closing price;Average price;Total volume;Turnover;Trades;
2020-11-16;1,35;1,36;1,35;1,39;1,35;1,36;1,366;689921503;941672818,87;274;
2020-11-13;1,28;1,30;1,26;1,30;1,20;1,30;1,233;388317000;478824940;113;
2020-11-12;1,26;1,27;1,38;1,38;1,26;1,26;1,312;184634553;242435237,26;191;
2020-11-11;1,35;1,37;1,29;1,40;1,29;1,37;1,352;511030985;689830560,64;360;
2020-11-10;1,21;1,26;1,14;1,30;1,13;1,26;1,208;399730820;483485246,49;345;
2020-11-09;1,08;1,10;0,92;1,15;0,92;1,10;1,035;250933847;259713614,5;175;
2020-11-06;0,89;0,90;0,90;0,90;0,88;0,90;0,889;27805812;24723117,88;30;
2020-11-05;0,89;0,90;0,91;0,92;0,90;0,90;0,905;31764140;28737186,29;19;
2020-11-04;0,91;0,92;0,92;0,92;0,91;0,91;0,919;5183386;4762665,12;12;
2020-11-03;0,93;0,94;0,88;0,94;0,88;0,94;0,92;47805763;43989061,96;41;
2020-11-02;0,88;0,89;0,90;0,90;0,89;0,89;0,894;21386373;19127532,72;31;
2020-10-30;0,89;0,90;0,91;0,91;0,89;0,90;0,902;13353666;12043819,4;22;
2020-10-29;0,90;0,91;0,91;0,91;0,91;0,91;0,91;13653352;12424550,32;21;
2020-10-28;0,90;0,91;0,94;0,94;0,91;0,91;0,918;31718986;29110570,08;32;
2020-10-27;0,93;0,95;0,95;0,96;0,94;0,95;0,95;72878239;68832594,66;24;
2020-10-26;0,92;0,93;0,94;0,94;0,92;0,93;0,933;27780371;25929145,03;21;
2020-10-23;0,94;0,95;0,95;0,95;0,94;0,95;0,947;15512000;14693980;21;
2020-10-22;0,95;0,96;0,95;0,96;0,94;0,95;0,95;9733417;9245808,65;22;
2020-10-21;0,94;0,95;0,96;0,96;0,94;0,94;0,949;10886486;10330912,84;24;
2020-10-20;0,94;0,95;0,94;0,95;0,94;0,94;0,943;9755009;9194558,55;18;
2020-10-19;0,94;0,95;0,95;0,95;0,94;0,95;0,95;13916000;13219200;16;
2020-10-16;0,95;0,97;0,97;0,99;0,95;0,96;0,97;501880059;442631600,56;50;
2020-10-15;0,94;0,95;0,95;0,95;0,94;0,94;0,941;12932360;12173105,83;15;
2020-10-14;0,95;0,96;0,97;0,97;0,95;0,95;0,959;20081799;19252809,2;33;
2020-10-13;0,95;0,96;0,95;0,96;0,95;0,96;0,96;9498000;9117970;14;
2020-10-12;0,95;0,96;0,96;0,96;0,95;0,95;0,956;5377500;5140245;19;
2020-10-09;0,95;0,96;0,97;0,98;0,95;0,96;0,961;53564500;51491390;35;
2020-10-08;0,95;0,96;0,91;0,97;0,91;0,97;0,938;80929000;75894370;55;
2020-10-07;0,88;0,90;0,88;0,90;0,88;0,90;0,888;23374918;20755563,79;27;
2020-10-06;0,88;0,90;0,86;0,90;0,85;0,90;0,866;52537000;45471600;62;
2020-10-05;0,86;0,87;0,92;0,92;0,86;0,87;0,876;82248091;72044660,62;76;
2020-10-02;0,90;0,92;0,93;0,94;0,90;0,91;0,917;92021091;84348814,63;71;
2020-10-01;0,93;0,94;0,98;0,98;0,93;0,93;0,945;62898434;59460571,62;94;
2020-09-30;0,96;0,98;0,99;0,99;0,93;0,98;0,958;222640354;219612623,9;86;
2020-09-29;0,96;0,98;1,10;1,10;0,95;0,95;0,999;25796008;25776125,52;59;
2020-09-28;1,03;1,05;1,11;1,16;1,00;1,03;1,061;14910690;15819709,7;35;
2020-09-25;1,09;1,11;1,14;1,14;1,10;1,11;1,118;23000000;25702200;32;
2020-09-24;1,14;1,15;1,16;1,16;1,14;1,14;1,142;3430517;3917759,38;18;
2020-09-23;1,14;1,18;1,15;1,18;1,15;1,18;1,163;5714000;6646380;9;
2020-09-22;1,15;1,17;1,20;1,20;1,15;1,15;1,184;7554000;8941197,5;17;
2020-09-21;1,18;1,20;1,25;1,30;1,17;1,17;1,201;9960939;11966488,61;35;
2020-09-18;1,16;1,22;1,40;1,40;1,15;1,20;1,272;20975690;26636584,6;60;
2020-09-17;1,17;1,39;1,10;1,20;1,10;1,20;1,128;1692334;1968400,8;9;
2020-09-16;1,10;1,15;1,17;1,17;1,01;1,10;1,134;2937505;3329592,85;16;
2020-09-15;1,10;1,16;1,25;1,25;1,00;1,17;1,126;6758953;7611935,01;31;
2020-09-14;1,25;1,35;1,30;1,30;1,25;1,25;1,272;5052907;6428195,25;13;
2020-09-11;1,20;1,21;1,20;1,30;1,15;1,22;1,22;1857569;2265981,61;12;
2020-09-10;1,20;1,25;1,25;1,25;1,19;1,20;1,217;3435000;4180050;11;
2020-09-09;1,08;1,24;1,17;1,24;1,15;1,24;1,199;2266400;2718102;12;
2020-09-08;1,15;1,20;1,20;1,20;1,15;1,15;1,192;7548246;9000147,81;31;
2020-09-07;1,15;1,18;1,20;1,20;1,00;1,18;1,146;4741257;5439193,99;34;
2020-09-04;1,11;1,15;1,19;1,19;0,98;1,15;1,107;2437045;2698576,32;17;
2020-09-03;1,15;1,19;1,16;1,19;1,16;1,19;1,182;1328084;1569681,21;12;
2020-09-02;1,12;1,17;1,17;1,20;1,15;1,17;1,155;8195540;9463458,64;29;
2020-09-01;1,05;1,15;1,15;1,15;1,10;1,15;1,144;1322500;1512646,44;13;
2020-08-31;1,10;1,17;1,13;1,19;1,13;1,18;1,153;3390000;3907100;9;
2020-08-28;1,10;1,15;1,10;1,16;1,10;1,15;1,131;2516797;2845948,4;15;
2020-08-27;1,08;1,15;1,10;1,15;1,10;1,10;1,112;3499917;3892200,64;15;
2020-08-26;1,07;1,12;1,15;1,15;1,00;1,10;1,093;2347856;2564955,84;15;
2020-08-25;1,10;1,14;1,20;1,20;1,15;1,15;1,151;1339000;1541350;8;
2020-08-24;1,14;1,17;1,20;1,20;1,13;1,15;1,152;2410263;2776422,19;13;
2020-08-21;1,05;1,13;1,19;1,19;1,10;1,10;1,145;2196000;2515390;22;
2020-08-20;1,15;1,20;1,24;1,24;1,15;1,19;1,183;6832916;8083610,16;39;
2020-08-19;1,05;1,15;1,22;1,24;1,10;1,15;1,19;5110917;6081776,43;44;
