MAREL;Marel;foodprocessing
Date;Bid;Ask;Opening price;High price;Low price;Closing price;Average price;Total volume;Turnover;Trades;
2020-11-16;735,00;740,00;733,00;744,00;731,00;740,00;738,089;1538295;1136766834;26;
2020-11-13;730,00;733,00;729,00;733,00;729,00;729,00;729,214;678720;495716259;10;
2020-11-12;731,00;737,00;728,50;737,00;728,00;737,00;731,929;1318549;969214718;25;
2020-11-11;726,00;733,00;723,00;733,00;723,00;733,00;728,82;96666;70452098;16;
2020-11-10;725,00;732,00;742,00;743,00;726,00;726,00;730,903;303069;221414270;23;
2020-11-09;738,00;742,00;715,00;748,00;715,00;742,00;734,167;741287;546116045;47;
2020-11-06;710,00;715,00;706,00;717,00;706,00;715,00;709,164;2415142;1724876471;43;
2020-11-05;698,00;703,00;704,00;704,00;697,00;700,00;700,569;1090806;764615109;25;
2020-11-04;701,00;706,00;714,00;714,00;704,00;706,00;705,264;204284;144074173;15;
2020-11-03;716,00;717,00;714,00;717,00;713,00;717,00;713,442;328092;234074736;19;
2020-11-02;705,00;710,00;706,00;710,00;697,00;709,00;706,044;154263;108917677;13;
2020-10-30;696,00;703,00;710,00;715,00;696,00;703,00;704,979;880244;615456593;32;
2020-10-29;705,00;709,00;708,00;709,00;702,00;709,00;707,474;185288;131111928;11;
2020-10-28;703,00;710,00;710,00;712,00;703,00;708,00;707,431;322880;228409250;27;
2020-10-27;730,00;740,00;739,00;741,00;735,00;735,00;738,905;105548;77533622;10;
2020-10-26;731,00;736,00;754,00;754,00;736,00;736,00;741,359;166028;123086365;16;
2020-10-23;746,00;755,00;755,00;755,00;747,00;755,00;751,369;635761;468048259;39;
2020-10-22;748,00;752,00;749,00;753,00;745,00;751,00;748,349;1045066;782073968;36;
2020-10-21;745,00;750,00;750,00;755,00;745,00;750,00;749,80;1397089;1047577541;72;
2020-10-20;732,00;737,00;738,00;738,00;732,00;737,00;733,187;27400;20089330;8;
