ORIGO;Origo;tech;
Date;Bid;Ask;Opening price;High price;Low price;Closing price;Average price;Total volume;Turnover;Trades;
2020-11-13;33,85;34,40;;;;34,125;;;;0;
2020-11-12;33,85;34,40;;;;34,125;;;;0;
2020-11-11;33,85;34,35;33,65;34,50;33,65;34,125;34,091;784493;26748593;10;
2020-11-10;33,05;34,40;35,30;35,30;33,65;33,65;34,397;906991;31197746,85;15;
2020-11-09;35,55;36,30;35,65;36,50;35,65;35,65;35,96;727849;26173060,05;16;
2020-11-06;34,80;35,60;34,60;35,60;34,60;35,60;35,058;273487;9588025,2;8;
2020-11-05;33,75;34,60;34,50;34,50;34,50;34,50;34,50;1500000;51750000;2;
2020-11-04;33,70;34,50;34,40;34,50;34,40;34,50;34,405;151140;5200030;4;
2020-11-03;33,85;34,75;34,00;34,00;34,00;34,00;34,00;7000;238000;1;
2020-11-02;34,00;34,95;34,50;34,50;34,00;34,00;34,196;622500;21287220;4;
2020-10-30;34,50;35,40;35,20;35,20;34,80;34,80;34,863;100000;3486269,45;3;
2020-10-29;35,15;35,75;35,00;35,15;35,00;35,15;35,072;228102;8000002,3;4;
2020-10-28;34,30;34,90;34,75;34,95;34,30;34,30;34,775;1679587;58407508,15;9;
2020-10-27;34,05;34,95;34,65;34,80;34,55;34,55;34,71;531266;18440018,05;6;
2020-10-26;35,00;35,65;36,00;36,00;35,20;35,20;35,559;438000;15574787,3;8;
2020-10-23;35,60;36,30;34,90;36,60;34,90;36,125;35,319;7800450;275503029,4;19;
2020-10-22;33,75;34,95;33,00;34,30;33,00;34,30;33,509;8663806;290312846,7;35;
2020-10-21;32,65;32,95;32,70;32,95;32,60;32,95;32,741;1993951;65284598,35;10;
2020-10-20;32,80;33,05;32,95;33,05;32,75;32,75;33,01;2822259;93161603,35;5;
2020-10-19;32,80;33,05;33,30;33,30;33,00;33,05;33,104;2841929;94080007,4;7;
2020-10-16;33,20;33,40;33,30;33,40;33,30;33,35;33,365;1937028;64654960,3;21;
2020-10-15;33,00;33,30;33,55;33,55;32,85;33,15;33,268;1370767;45602573;13;
2020-10-14;32,80;33,40;32,60;33,45;32,60;33,45;33,278;4311010;143461779,4;15;
2020-10-13;32,35;32,55;32,10;32,55;32,10;32,55;32,357;3599538;116470704,45;9;
2020-10-12;31,85;32,10;31,90;32,10;31,90;32,10;31,901;878228;28016101,2;4;
2020-10-09;31,25;32,10;31,10;31,60;31,10;31,60;31,381;640290;20093027,85;9;
2020-10-08;30,70;31,00;30,75;31,00;30,75;30,85;30,767;2375076;73074863,9;8;
2020-10-07;30,25;;30,10;30,55;30,10;30,55;30,303;2527767;76600034,65;9;
2020-10-06;29,90;30,10;29,60;30,00;29,60;30,00;29,692;7352449;220348530,2;6;
2020-10-05;29,50;29,70;29,45;29,60;29,45;29,50;29,509;1270809;37500027,7;5;
2020-10-02;29,25;29,95;29,05;29,35;29,05;29,35;29,141;2647274;77143975;9;
2020-10-01;28,65;30,50;28,85;28,95;28,85;28,95;28,907;276752;8000005,05;4;
2020-09-30;28,70;28,85;28,60;28,80;28,50;28,80;28,677;2131658;61130032,7;8;
2020-09-29;28,55;28,80;28,75;28,75;28,75;28,75;28,75;75348;2166255;2;
2020-09-28;28,55;28,75;28,50;28,50;28,50;28,50;28,50;1375789;39209986,5;3;
2020-09-25;28,55;28,80;29,05;29,05;28,60;28,60;28,774;1612804;46406938;10;
2020-09-24;29,00;29,30;29,20;29,20;29,20;29,20;29,20;5400000;157680000;2;
2020-09-23;29,25;29,55;29,25;29,25;29,25;29,25;29,25;35000;1023750;1;
2020-09-22;29,25;29,55;29,525;29,525;29,40;29,40;29,42;2524000;74255600;5;
2020-09-21;29,55;29,70;29,75;29,75;29,55;29,55;29,671;277221;8225420,8;5;
2020-09-18;29,85;30,00;29,70;29,95;29,70;29,95;29,735;1570175;46688975,95;4;
2020-09-17;29,70;29,85;;;;29,75;;;;0;
2020-09-16;29,70;29,85;;;;29,75;;;;0;
2020-09-15;29,75;29,90;29,75;29,75;29,75;29,75;29,75;30855;917936,25;1;
2020-09-14;29,75;29,90;29,75;29,75;29,75;29,75;29,75;40000;1190000;1;
2020-09-11;29,75;29,90;;;;29,90;;;;0;
2020-09-10;29,75;29,90;;;;29,90;;;;0;
2020-09-09;29,80;30,00;;;;29,90;;;;0;
2020-09-08;29,80;30,00;29,90;29,90;29,90;29,90;29,90;35000;1046500;1;
2020-09-07;29,80;30,00;30,00;30,00;30,00;30,00;30,00;30000;900000;2;
2020-09-04;29,90;30,00;30,025;30,025;29,95;29,95;30,003;1166000;34982950;3;
2020-09-03;30,00;30,15;30,15;30,15;30,15;30,15;30,15;7233;218074,95;2;
2020-09-02;30,00;30,10;30,15;30,20;30,10;30,20;30,136;336730;10147735,4;7;
2020-09-01;29,95;30,10;;;;30,10;;;;0;
2020-08-31;29,95;30,10;30,075;30,10;30,075;30,10;30,076;211762;6369036,2;2;
2020-08-28;30,00;30,10;30,00;30,00;30,00;30,00;30,00;30278;908340;1;
2020-08-27;30,05;30,50;29,80;30,20;29,80;30,00;29,967;613402;18381570,7;13;
2020-08-26;29,85;30,05;30,00;30,00;30,00;30,00;30,00;5266480;157994400;4;
2020-08-25;29,85;30,00;29,85;29,95;29,85;29,95;29,938;42442;1270633,3;2;
2020-08-24;29,90;30,00;29,90;29,90;29,90;29,90;29,90;4000;119600;1;
2020-08-21;29,90;30,00;;;;29,90;;;;0;
2020-08-20;29,90;30,00;29,90;29,90;29,90;29,90;29,90;30000;897000;1;
