OSSR;Össur;tech;
Date;Bid;Ask;Opening price;High price;Low price;Closing price;Average price;Total volume;Turnover;Trades;
2020-11-13;45,50;45,70;45,70;45,80;44,45;45,70;45,355;211682;9629306,5;108;
2020-11-12;45,50;45,60;45,80;45,95;45,00;45,70;45,726;15386;703538,2;96;
2020-11-11;45,50;45,70;45,50;45,95;45,50;45,50;45,612;19278;879354,12;118;
2020-11-10;45,50;45,70;45,50;45,70;44,80;45,50;45,176;44016;1988176,55;263;
2020-11-09;45,00;45,50;44,40;45,50;43,95;45,50;44,927;51951;2333818,6;158;
2020-11-06;43,70;43,95;43,85;44,10;43,30;44,00;43,691;45359;1981798,05;152;
2020-11-05;43,85;44,00;43,55;44,35;43,00;44,10;43,703;32433;1417810,05;96;
2020-11-04;42,90;43,45;43,10;43,50;42,50;43,50;43,018;123595;5316383,9;125;
2020-11-03;42,55;43,05;42,90;43,65;42,20;42,90;42,896;21161;907603,17;156;
2020-11-02;42,40;42,70;42,05;42,85;41,80;42,50;42,299;98685;4174304,8;133;
2020-10-30;42,00;42,10;42,90;42,90;40,85;42,00;41,956;56503;2372333,96;159;
2020-10-29;42,00;42,25;42,00;42,90;40,50;42,90;41,95;65134;2732555,29;271;
2020-10-28;41,40;41,60;42,00;43,15;40,95;42,00;41,707;109471;4566042,96;332;
2020-10-27;41,85;42,00;43,05;43,40;41,75;42,00;42,455;89047;3780488,2;231;
2020-10-26;43,00;43,05;43,75;43,80;42,85;43,00;43,13;88530;3818257,95;207;
2020-10-23;43,55;43,85;44,45;44,45;43,45;43,50;43,613;123827;5400447,85;111;
2020-10-22;43,70;43,80;44,80;45,05;43,60;43,70;44,257;64429;2851252,75;213;
2020-10-21;44,85;44,90;46,00;46,00;44,85;45,05;45,24;119418;5402481,35;176;
2020-10-20;45,65;46,15;46,60;46,90;45,60;46,00;46,233;29901;1382423,3;118;
2020-10-19;46,60;46,95;47,60;47,60;46,55;46,60;47,047;60581;2850175;97;
2020-10-16;46,60;46,90;47,50;47,50;46,50;47,10;46,928;14407;675845,2;75;
2020-10-15;46,85;46,95;47,50;47,50;46,05;46,85;46,73;6188;289162,1;63;
2020-10-14;46,85;47,25;47,60;47,60;46,50;47,50;46,797;27849;1303237,25;108;
2020-10-13;46,50;46,60;47,00;47,30;46,50;47,00;46,973;51782;2432366,25;81;
2020-10-12;46,30;46,90;46,05;47,00;46,05;47,00;46,574;41209;1918338,68;138;
2020-10-09;46,00;46,30;46,00;46,80;45,30;46,05;45,989;150204;6908994,2;113;
2020-10-08;46,20;46,50;46,50;46,80;45,05;46,20;46,318;14831;686951,68;65;
2020-10-07;46,00;46,15;45,60;46,55;45,50;46,00;45,691;582692;26624418,2;140;
2020-10-06;45,60;45,75;46,50;46,65;45,60;46,00;46,151;109657;5060831;113;
2020-10-05;45,95;46,45;45,50;47,00;44,80;46,70;45,681;257536;11764472,1;231;
2020-10-02;45,50;45,65;45,50;45,80;45,05;45,65;45,445;31180;1416988,95;183;
2020-10-01;46,00;46,05;46,35;46,35;44,80;46,00;45,512;412892;18786460,75;265;
2020-09-30;44,80;44,90;45,30;45,45;44,80;45,00;44,902;23946;1075344,4;87;
2020-09-29;45,05;45,15;45,05;45,85;44,95;45,30;45,173;39530;1785668,75;125;
2020-09-28;45,05;45,75;46,00;46,00;45,00;45,05;45,488;955193;43449680,75;160;
2020-09-25;45,45;45,75;46,80;46,80;45,20;45,45;46,01;148242;6820407;217;
2020-09-24;45,60;46,05;47,20;47,35;45,50;45,60;46,588;35228;1641211,05;137;
2020-09-23;46,60;47,00;46,00;47,85;46,00;46,55;46,979;70288;3302119,25;305;
2020-09-22;45,00;45,25;45,00;45,60;44,80;45,05;45,484;320807;14590041,6;103;
2020-09-21;44,90;45,05;46,05;46,05;44,80;45,00;45,119;58739;2650604,78;226;
2020-09-18;46,00;46,05;47,00;48,00;45,15;46,05;46,196;90338;4172258,33;252;
2020-09-17;46,75;47,00;46,70;47,35;46,50;47,00;46,915;86357;4051797,19;114;
2020-09-16;46,15;46,55;46,75;46,90;46,00;46,65;46,591;76003;3539633,98;107;
2020-09-15;46,15;46,35;46,05;46,50;45,35;46,15;45,919;18924;868967,8;123;
2020-09-14;46,00;46,40;47,00;47,00;45,70;46,05;46,086;40984;1888586,15;166;
2020-09-11;46,10;46,25;46,30;46,50;45,85;46,50;46,164;23986;1107289,1;115;
2020-09-10;46,50;46,85;46,35;47,00;45,55;46,50;46,16;43182;1993266,8;238;
2020-09-09;45,65;45,75;45,10;46,35;45,10;46,35;46,07;23627;1088499,8;142;
2020-09-08;45,35;45,70;45,15;45,95;45,05;45,70;45,551;26782;1219834,52;156;
2020-09-07;45,85;45,90;46,05;46,10;44,95;46,10;45,877;24104;1105319,81;155;
2020-09-04;45,85;46,05;45,90;46,05;45,00;45,75;45,749;57086;2609101,31;268;
2020-09-03;45,55;45,80;46,00;46,00;45,30;45,90;45,749;116255;5320712,83;226;
2020-09-02;45,30;45,60;45,55;46,00;45,30;45,50;45,557;28893;1316441,1;100;
2020-09-01;45,60;45,90;46,25;46,25;45,50;45,50;45,675;47049;2148912,39;141;
2020-08-31;45,30;45,65;46,10;46,20;45,15;45,15;45,849;121746;5581915,5;172;
2020-08-28;45,90;46,00;46,45;46,45;45,85;46,20;46,005;59835;2752682,45;97;
2020-08-27;45,80;46,00;45,70;46,00;45,70;45,85;45,753;648470;29669184,03;149;
2020-08-26;45,55;45,70;45,10;45,70;45,10;45,60;45,601;190747;8698271;132;
2020-08-25;45,40;45,65;45,00;45,70;45,00;45,60;45,571;167055;7612913,91;112;
2020-08-24;45,45;45,70;45,05;46,50;45,00;45,40;45,956;120969;5554490,9;288;
2020-08-21;45,05;45,50;45,70;45,70;45,00;45,10;45,395;790940;35865573,46;129;
2020-08-20;45,00;45,15;45,45;45,45;44,80;45,00;45,079;589681;26583115,08;98;
2020-08-19;45,00;45,25;45,00;45,45;45,00;45,05;45,108;16263;733662,23;113;
2020-08-18;45,00;45,15;44,55;45,45;44,55;45,00;44,915;225389;10123430,05;121;
2020-08-17;44,55;45,05;44,05;45,10;44,05;44,60;44,563;73858;3291343;82;
2020-08-14;44,00;44,35;44,60;44,90;44,00;44,20;44,17;8813;389269,75;72;
2020-08-13;44,50;44,75;44,30;45,00;44,10;44,60;44,532;54378;2422448,75;202;
2020-08-12;44,40;44,55;44,40;44,75;44,30;44,50;44,426;22808;1013259,9;76;
2020-08-11;44,60;44,65;44,30;44,75;44,25;44,50;44,522;16213;721754,12;111;
2020-08-10;44,50;44,60;44,50;44,70;44,05;44,50;44,593;320444;14289677,7;89;
2020-08-07;44,50;44,60;44,00;44,55;44,00;44,50;44,484;27506;1223583,2;178;
2020-08-06;44,05;44,35;44,35;44,65;44,05;44,35;44,33;9752;432264,83;93;
2020-08-05;44,15;44,35;44,50;44,50;44,00;44,35;44,322;96688;4285087,4;98;
2020-08-04;44,50;44,55;44,10;44,55;44,00;44,50;44,258;24119;1067459,7;135;
2020-08-03;44,15;44,45;44,80;44,80;44,00;44,10;44,102;11554;509549,35;108;
2020-07-31;44,00;44,20;43,10;44,70;43,10;44,10;44,023;20297;893523,88;107;
2020-07-30;43,70;43,95;44,00;44,25;43,00;43,60;43,825;36971;1620239,25;182;
2020-07-29;43,60;43,80;43,10;44,40;42,90;44,00;43,248;309926;13403591,05;177;
2020-07-28;43,35;43,65;43,10;44,35;43,00;43,45;43,558;99111;4317194,63;271;
2020-07-27;43,50;44,00;43,95;44,30;43,55;43,70;43,938;45219;1986850,4;155;
2020-07-24;44,00;44,10;44,20;45,00;43,15;44,00;44,105;56063;2472650,8;284;
2020-07-23;44,20;44,25;44,80;44,90;44,10;44,30;44,61;68458;3053685,6;252;
2020-07-22;44,20;44,30;44,45;45,15;44,05;44,20;44,619;70643;3151480,75;229;
2020-07-21;44,45;44,70;45,00;45,50;44,40;44,45;44,836;77797;3488158,23;307;
2020-07-20;45,15;45,90;44,60;45,95;44,60;45,15;44,859;9211;413195,1;90;
2020-07-17;44,35;44,85;45,85;45,95;43,50;44,60;44,851;56493;2533779,05;138;
2020-07-16;45,50;45,95;45,60;45,95;45,10;45,85;45,585;12634;575919;69;
2020-07-15;45,80;46,00;45,25;46,20;45,05;45,80;45,821;47393;2171516,15;91;
2020-07-14;45,40;45,80;47,00;47,00;45,00;45,00;45,498;92041;4218369,5;158;
2020-07-13;46,55;46,60;46,30;46,60;46,00;46,55;46,271;15333;709471;103;
2020-07-10;46,20;46,25;47,75;47,75;46,00;46,20;46,682;181748;8484297,4;183;
2020-07-09;46,80;47,45;46,50;47,50;46,40;47,00;46,795;56288;2633982,03;143;
2020-07-08;46,20;46,40;46,35;46,50;45,60;46,50;46,217;35909;1659520,4;139;
2020-07-07;45,70;46,20;45,75;46,35;45,20;46,35;45,838;175430;8041270,08;331;
2020-07-06;45,65;46,00;45,55;46,00;44,15;45,75;45,252;434879;19681741,18;221;
2020-07-03;44,65;45,00;44,55;46,00;44,55;44,85;45,427;123018;5588307,4;196;
2020-07-02;45,70;46,00;46,45;46,45;44,75;45,70;45,665;183939;8399574,5;498;
2020-07-01;44,50;45,55;44,00;45,90;44,00;45,50;44,833;20909;937280,05;135;
2020-06-30;43,60;44,05;45,575;45,60;43,60;44,00;45,138;69744;3148107,75;185;
2020-06-29;45,45;45,65;45,75;45,75;45,10;45,10;45,262;12070;546306,75;72;
2020-06-26;45,70;46,10;45,80;46,45;45,20;45,70;45,757;15675;717432,3;93;
2020-06-25;45,85;46,10;45,65;46,40;45,60;46,00;45,925;48895;2245380,75;107;
2020-06-24;46,10;46,35;47,30;47,30;46,00;46,15;46,635;114831;5354799,7;118;
2020-06-23;47,00;47,50;46,70;47,50;46,70;47,30;47,30;49690;2342628,2;149;
2020-06-22;46,70;47,40;46,95;47,80;45,50;46,70;46,71;20161;941723,8;109;
2020-06-19;47,10;47,15;48,50;48,50;47,10;47,10;47,216;27290;1288522,8;130;
