REGINN;Reginn Fasteignafélag;realestate;
Date;Bid;Ask;Opening price;High price;Low price;Closing price;Average price;Total volume;Turnover;Trades;
2020-11-13;18,10;18,55;18,70;18,70;18,15;18,15;18,256;5444613;98973326,25;14;
2020-11-12;18,05;18,50;18,70;18,70;18,25;18,25;18,298;1291612;23634467,3;7;
2020-11-11;18,45;18,90;19,12;19,25;18,60;18,75;18,842;5266452;99231597,8;9;
2020-11-10;18,70;19,05;18,60;19,10;18,60;19,05;18,854;3755122;70799940,45;20;
2020-11-09;18,15;18,55;17,275;18,80;17,275;18,50;18,272;5636340;102989421,5;25;
2020-11-06;17,05;17,30;16,60;17,30;16,60;17,20;16,946;11164387;189950343,9;21;
2020-11-05;16,20;16,65;16,15;16,45;16,15;16,45;16,192;3567646;57767482,9;6;
2020-11-04;16,00;16,15;;;;16,00;;;;0;
2020-11-03;16,00;16,10;16,025;16,025;16,00;16,00;16,025;1012000;16217000;2;
2020-11-02;15,95;16,10;;;;16,05;;;;0;
2020-10-30;16,00;16,15;16,20;16,25;16,05;16,05;16,162;1725571;27888695,75;6;
2020-10-29;16,20;16,35;16,20;16,20;16,20;16,20;16,20;210000;3402000;2;
2020-10-28;16,25;16,40;16,45;16,45;16,25;16,25;16,366;1429456;23393753,05;6;
2020-10-27;16,45;16,55;16,55;16,55;16,55;16,55;16,55;42500;703375;2;
2020-10-26;16,50;16,60;16,70;16,70;16,50;16,50;16,597;2076736;34466865,05;11;
2020-10-23;16,65;16,75;16,60;16,75;16,60;16,65;16,642;2590304;43108740,85;7;
2020-10-22;16,45;16,60;16,50;16,60;16,45;16,45;16,563;1296518;21474648,8;6;
2020-10-21;16,45;16,65;16,45;16,65;16,45;16,525;16,597;5972486;99122198,75;12;
2020-10-20;16,25;16,45;16,35;16,45;16,25;16,25;16,253;3836300;62349725;5;
2020-10-19;16,05;16,20;16,00;16,20;16,00;16,20;16,006;4118500;65919700;6;
2020-10-16;15,90;16,10;16,10;16,20;16,00;16,00;16,05;3040039;48791123,75;11;
2020-10-15;15,85;16,00;16,15;16,20;15,90;15,90;16,104;5113564;82348427;15;
2020-10-14;16,05;16,25;16,00;16,15;16,00;16,15;16,026;2828086;45321487,9;7;
2020-10-13;15,70;15,90;15,80;15,80;15,80;15,80;15,80;4000000;63000000;2;
2020-10-12;15,70;15,90;;;;15,90;;;;0;
2020-10-09;15,60;15,90;15,65;15,90;15,65;15,90;15,697;10995000;172698000;9;
2020-10-08;15,25;15,60;15,55;15,55;15,55;15,55;15,55;244341;3799502,55;2;
2020-10-07;15,30;15,55;15,35;15,40;15,35;15,40;15,375;4000000;61500000;4;
2020-10-06;15,25;15,35;15,25;15,25;15,25;15,25;15,25;159166;2427281,5;2;
2020-10-05;15,25;15,50;15,55;15,55;15,35;15,50;15,445;990761;15302263,85;6;
2020-10-02;15,60;15,90;15,70;15,70;15,50;15,70;15,686;3734304;58577505,9;10;
2020-10-01;15,70;16,00;;;;15,80;;;;0;
2020-09-30;15,80;16,10;15,90;15,90;15,80;15,80;15,899;1008972;16041757,6;2;
2020-09-29;15,80;16,10;15,90;16,00;15,90;16,00;15,934;4462365;71102276,4;10;
2020-09-28;15,35;15,60;;;;15,35;;;;0;
2020-09-25;15,20;15,45;15,25;15,35;15,15;15,35;15,219;2076482;31601260,7;6;
2020-09-24;15,15;15,50;15,60;15,60;15,35;15,45;15,399;22064806;349148079,7;6;
2020-09-23;15,35;15,95;16,15;16,15;15,55;15,80;15,836;6741303;106756470,65;14;
2020-09-22;15,973;16,272;15,873;16,223;15,624;16,223;15,902;3277688,738590741;52122651,05;17;
2020-09-21;15,923;16,123;16,472;16,472;15,823;15,923;16,021;8560741,53170552;137148564,9;9;
2020-09-18;16,472;16,572;16,522;16,722;16,422;16,472;16,497;2480540,1517761983;40922594,35;8;
2020-09-17;16,472;16,622;15,773;16,472;15,773;16,472;16,057;9786169,053362075;157133996,8;15;
2020-09-16;15,624;15,873;;;;15,624;;;;0;
2020-09-15;15,624;15,823;15,624;15,624;15,624;15,624;15,624;112189,37566612442;1752800;2;
2020-09-14;15,673;15,973;;;;15,923;;;;0;
2020-09-11;15,574;15,973;15,823;15,923;15,773;15,923;15,811;4239457,203759947;67030391,5;6;
2020-09-10;15,524;15,823;15,374;15,823;15,374;15,574;15,434;8436142,208047183;130413214,6;8;
2020-09-09;15,374;15,524;15,324;15,324;15,324;15,324;15,324;1001690,8541618251;15350000;1;
2020-09-08;15,025;15,324;15,224;15,224;15,174;15,174;15,181;701183,5979132777;10645000;3;
2020-09-07;15,124;15,224;14,875;15,124;14,875;15,124;15,072;9073315,756997812;137572900;5;
2020-09-04;14,825;15,124;15,723;15,723;14,875;14,875;15,362;3070182,4680059943;47162705,1;9;
2020-09-03;15,624;15,723;15,374;15,773;15,374;15,624;15,50;6274570,474961735;97258738,25;11;
2020-09-02;14,825;15,324;14,376;15,174;14,376;15,174;14,678;5952347,562685814;87368530,8;24;
2020-09-01;14,276;14,376;;;;14,301;;;;0;
2020-08-31;14,276;14,326;14,326;14,326;14,301;14,301;14,301;1369733,1094888171;19588741,35;2;
2020-08-28;14,176;14,326;13,926;14,176;13,926;14,176;14,081;3178170,752229764;44750673,95;8;
2020-08-27;13,527;13,727;13,527;13,627;13,427;13,627;13,527;2297163,612177355;31072559,1;10;
2020-08-26;13,577;13,727;;;;13,727;;;;0;
2020-08-25;13,627;13,727;13,777;13,976;13,627;13,727;13,774;7249979,966182917;99864430;17;
2020-08-24;14,276;14,326;14,426;14,426;14,276;14,276;14,288;4683271,362059156;66913014,2;8;
2020-08-21;14,436;14,575;14,825;14,875;14,525;14,525;14,709;4647771,438187661;68365147,1;15;
2020-08-20;14,775;14,825;15,05;15,05;14,775;14,775;14,956;3013828,342241704;45075002,3;7;
2020-08-19;14,975;15,124;15,174;15,174;14,975;15,075;15,072;4126527,5785525967;62195014,2;7;
2020-08-18;15,174;15,324;15,224;15,224;15,224;15,224;15,224;2263821,3304057247;34465000;4;
2020-08-17;15,124;15,324;15,524;15,524;15,075;15,174;15,232;9276965,517794037;141272026,5;12;
2020-08-14;15,574;15,723;15,723;15,873;15,673;15,673;15,707;5260257,314346617;82622710,8;15;
2020-08-13;16,073;16,272;16,272;16,272;16,173;16,173;16,268;1376206,0357884108;22388192,9;5;
2020-08-12;16,322;16,522;16,472;16,472;16,472;16,472;16,472;200338,17083236502;3300000;1;
2020-08-11;16,372;16,522;16,372;16,522;16,372;16,522;16,477;2619358,4771093605;43158000;14;
2020-08-10;16,173;16,372;16,073;16,372;16,073;16,372;16,172;1947679,6833054195;31497204,2;11;
2020-08-07;16,073;16,272;16,622;16,622;16,073;16,073;16,362;2908174,9993989854;47584883,2;20;
2020-08-06;16,622;16,921;16,772;16,772;16,672;16,672;16,741;4135480,691407095;69232750;6;
