REITIR;Reitir Fasteignafélag;realestate;
Date;Bid;Ask;Opening price;High price;Low price;Closing price;Average price;Total volume;Turnover;Trades;
2020-11-13;56,20;56,80;57,35;57,50;56,60;56,70;56,726;508918;28868760,6;6;
2020-11-12;57,00;57,70;59,10;59,25;57,35;57,35;58,67;6252000;366803100;26;
2020-11-11;58,60;59,00;59,15;59,80;58,60;58,60;59,312;8227933;488013213,5;24;
2020-11-10;58,50;59,20;55,20;59,00;55,20;59,00;57,09;6167540;352120428;49;
2020-11-09;53,80;54,40;48,75;54,50;48,50;54,40;52,074;7410543;385898041,7;53;
2020-11-06;47,85;48,50;47,10;48,20;47,10;48,20;47,668;5423109;258508554,2;20;
2020-11-05;46,50;46,80;45,90;47,00;45,90;46,70;46,272;3763700;174152480;16;
2020-11-04;45,30;45,90;;;;45,85;;1000000;45850000;1;
2020-11-03;45,30;45,85;45,85;45,85;45,85;45,85;45,85;120020;5502917;2;
2020-11-02;45,60;45,80;45,80;45,80;45,80;45,80;45,80;3940;180452;2;
2020-10-30;45,30;45,90;46,00;46,00;45,85;45,90;45,87;288000;13210500;6;
2020-10-29;46,00;46,40;46,05;46,40;46,05;46,40;46,087;225000;10369550;3;
2020-10-28;45,85;46,30;46,60;46,60;45,85;46,00;46,061;1969255;90705530;15;
2020-10-27;47,00;47,30;47,10;47,50;47,10;47,30;47,146;41700;1965970,8;5;
2020-10-26;47,00;47,60;48,00;48,00;47,20;47,20;47,553;1200553;57089554;11;
2020-10-23;47,80;48,50;48,20;48,20;48,10;48,20;48,109;784422;37737549,3;10;
2020-10-22;47,90;48,20;49,25;49,25;48,10;48,20;48,75;1312000;63959700;12;
2020-10-21;47,90;48,55;48,10;48,55;48,10;48,55;48,134;256000;12322300;4;
2020-10-20;47,50;47,85;47,10;47,85;47,00;47,75;47,708;13153300;627517440;21;
2020-10-19;46,10;46,80;46,15;46,80;46,00;46,80;46,124;813500;37522200;6;
2020-10-16;46,15;46,85;46,00;47,30;46,00;46,50;46,813;8052875;376980855;21;
2020-10-15;44,872;45,417;44,872;45,417;44,575;45,417;44,871;2668124,770331006;119721005,3;14;
2020-10-14;44,922;45,566;43,981;46,061;43,981;45,417;44,871;5300249,556814557;237826320,2;22;
2020-10-13;43,584;43,981;42,99;43,634;42,99;43,634;43,627;714622,8986548969;31176731,6;5;
2020-10-12;43,089;43,634;43,139;43,238;42,792;43,238;43,183;408861,2859848408;17656000;4;
2020-10-09;42,792;43,139;42,891;42,941;42,891;42,941;42,896;1853139,0451423241;79491425,4;5;
2020-10-08;42,594;42,842;42,941;42,941;42,594;42,594;42,929;621040,1027301839;26660427,5;5;
2020-10-07;42,297;42,544;42,297;42,495;42,297;42,346;42,432;2945315,560150057;124975750;10;
2020-10-06;41,851;42,297;41,851;42,099;41,851;41,851;42,061;1188120,6110507634;49974025;5;
