SIMINN;Síminn;telecom;
Date;Bid;Ask;Opening price;High price;Low price;Closing price;Average price;Total volume;Turnover;Trades;
2020-11-13;7,43;7,54;7,54;7,54;7,43;7,54;7,434;1501326;11160498,04;3;
2020-11-12;7,43;7,53;7,49;7,49;7,48;7,48;7,487;7520000;56299800;5;
2020-11-11;7,49;7,58;7,48;7,58;7,48;7,535;7,52;51065000;383956500;10;
2020-11-10;7,49;7,58;7,65;7,65;7,49;7,50;7,534;7821000;58925500;10;
2020-11-09;7,58;7,67;7,53;7,66;7,51;7,65;7,585;33635843;255125565,05;19;
2020-11-06;7,40;7,50;7,50;7,50;7,50;7,50;7,50;2214000;16605000;3;
2020-11-05;7,40;7,51;7,51;7,52;7,45;7,50;7,505;45736322;343254378,22;10;
2020-11-04;7,39;7,49;;;;7,50;;;;0;
2020-11-03;7,40;7,45;7,45;7,50;7,44;7,50;7,445;6340000;47202000;3;
2020-11-02;7,40;7,50;7,44;7,50;7,40;7,45;7,423;328074;2435229,56;8;
2020-10-30;7,39;7,49;7,55;7,55;7,44;7,44;7,478;27000000;194430000;7;
2020-10-29;7,49;7,59;7,49;7,55;7,49;7,55;7,504;25230000;189332900;6;
2020-10-28;7,41;7,51;7,60;7,60;7,44;7,44;7,527;56840311;429651138,05;17;
2020-10-27;7,42;7,48;7,43;7,48;7,43;7,48;7,44;39500000;293894000;8;
2020-10-26;7,34;7,43;7,33;7,33;7,33;7,33;7,33;7630;55927,9;1;
2020-10-23;7,38;7,46;7,35;7,50;7,35;7,42;7,448;32187000;239725460;19;
2020-10-22;7,14;7,23;7,24;7,24;7,185;7,185;7,229;12500000;90362500;2;
2020-10-21;7,15;7,24;7,22;7,24;7,195;7,195;7,203;16055000;115643200;6;
2020-10-20;7,12;7,20;7,18;7,18;7,12;7,12;7,175;7125528;51123761,6;6;
2020-10-19;7,10;7,16;7,15;7,16;7,13;7,16;7,145;40030000;286014800;4;
2020-10-16;7,05;7,15;7,15;7,15;7,05;7,10;7,127;20504700;146127365;7;
2020-10-15;7,05;7,15;7,20;7,20;7,10;7,10;7,119;8059999;57379492,8;5;
2020-10-14;7,10;7,17;7,13;7,15;7,13;7,15;7,131;4453000;31753890;2;
