SJOVA;Sjóvá;insurance;
Date;Bid;Ask;Opening price;High price;Low price;Closing price;Average price;Total volume;Turnover;Trades;
2020-11-13;24,85;25,20;24,75;25,10;24,75;25,10;25,028;2519066;63046883,5;4;
2020-11-12;25,00;25,05;25,25;25,25;25,00;25,025;25,041;4654312;116548915,6;8;
2020-11-11;25,05;25,20;25,35;25,35;25,00;25,00;25,215;3402990;85807530,55;14;
2020-11-10;25,10;25,45;25,80;25,90;25,35;25,35;25,714;8663135;222758078,9;28;
2020-11-09;25,55;25,85;25,85;26,05;25,60;25,85;25,859;6973663;180020036,95;21;
2020-11-06;25,20;25,45;25,05;25,30;25,00;25,30;25,206;3132144;78948005;9;
2020-11-05;24,70;24,90;24,50;25,00;24,50;24,80;24,785;11267500;279263266,6;14;
2020-11-04;24,35;24,65;24,55;24,55;24,45;24,50;24,453;2090000;51107000;3;
2020-11-03;24,25;24,45;24,05;24,55;24,05;24,25;24,212;10467500;253435386,7;18;
2020-11-02;23,85;24,15;23,80;24,15;23,75;24,00;24,071;4741986;113603051,9;12;
2020-10-30;23,60;23,95;24,25;24,30;23,75;23,775;23,954;4259801;102038696,1;15;
2020-10-29;23,30;23,65;23,60;23,60;23,50;23,60;23,533;4706000;110746600;10;
2020-10-28;23,35;23,55;23,55;23,55;23,25;23,40;23,475;6952745;163216572,65;9;
2020-10-27;23,50;23,70;23,70;23,70;23,60;23,60;23,609;440000;10388000;2;
2020-10-26;23,45;23,75;23,65;23,65;23,45;23,45;23,544;1594172;37533362,55;5;
2020-10-23;23,65;24,00;23,30;24,00;23,30;23,95;23,636;13427819;313865122,25;22;
2020-10-22;22,75;22,95;22,85;23,05;22,85;22,85;22,985;14660213;335485867,05;7;
2020-10-21;22,30;22,50;22,50;22,50;22,50;22,50;22,50;13000;292500;1;
2020-10-20;22,30;22,40;22,10;22,35;22,10;22,35;22,204;3497665;77662011,45;11;
2020-10-19;21,90;21,95;21,85;21,95;21,85;21,95;21,88;638536;13971208,4;4;
2020-10-16;21,65;21,85;21,525;21,80;21,525;21,75;21,739;8476655;184275817,75;13;
2020-10-15;21,50;21,70;21,30;21,65;21,30;21,50;21,51;7012249;150830996,5;18;
2020-10-14;21,25;21,40;21,20;21,35;21,20;21,325;21,267;10206138;216700020;11;
2020-10-13;20,95;21,05;21,00;21,05;20,95;21,05;21,00;2212637;46465173,7;4;
2020-10-12;20,90;21,00;20,90;21,00;20,87;21,00;20,896;666315;13923452,68;5;
2020-10-09;20,80;20,90;20,60;20,90;20,60;20,90;20,799;20367059;423615935,9;17;
2020-10-08;20,45;20,60;20,15;20,55;20,15;20,50;20,432;3798207;77603961,25;11;
2020-10-07;20,00;20,15;20,05;20,05;20,05;20,05;20,05;187032;3749991,6;1;
2020-10-06;20,05;20,15;20,15;20,15;20,05;20,10;20,082;5719106;114848670,8;5;
2020-10-05;20,15;20,25;20,20;20,20;20,20;20,20;20,20;7000000;141400000;2;
2020-10-02;20,20;20,30;20,25;20,25;20,20;20,25;20,249;1537750;31137374,45;6;
2020-10-01;20,35;20,50;20,55;20,55;20,35;20,45;20,439;1893465;38700010,05;7;
2020-09-30;20,55;20,65;;;;20,65;;300000;6180000;1;
2020-09-29;20,55;20,65;20,65;20,75;20,60;20,65;20,703;2056066;42565562,9;8;
2020-09-28;20,50;20,55;20,55;20,55;20,50;20,525;20,526;2094941;43000945,05;4;
2020-09-25;20,35;20,50;;;;20,50;;;;0;
2020-09-24;20,50;20,60;20,40;20,55;20,40;20,50;20,444;1835521;37525859,55;6;
2020-09-23;20,35;20,45;20,50;20,55;20,40;20,40;20,458;1639266;33535233,5;7;
2020-09-22;20,40;20,50;20,40;20,45;20,40;20,45;20,448;1736029;35497748,95;3;
2020-09-21;20,20;20,50;20,60;20,60;20,40;20,40;20,53;2810232;57693854,8;5;
2020-09-18;20,60;20,75;20,75;20,75;20,70;20,70;20,735;723433;15000002,85;2;
2020-09-17;20,75;20,85;20,325;20,80;20,325;20,75;20,624;5174286;106712046,9;20;
2020-09-16;20,20;20,35;20,20;20,35;20,20;20,25;20,235;48900;989470;4;
2020-09-15;20,25;20,40;;;;20,40;;;;0;
2020-09-14;20,25;20,40;20,60;20,60;20,40;20,40;20,476;1431905;29320018,25;4;
2020-09-11;20,55;20,70;20,65;20,65;20,60;20,65;20,638;4146489;85574997,85;4;
2020-09-10;20,55;20,65;20,50;20,65;20,50;20,65;20,561;2879182;59200022,4;6;
2020-09-09;20,20;20,35;20,30;20,30;20,30;20,30;20,30;211710;4297713;3;
2020-09-08;20,30;20,45;20,30;20,45;20,30;20,30;20,35;1909163;38850748,45;6;
2020-09-07;20,15;20,30;20,20;20,25;20,15;20,20;20,172;3598134;72582881,8;5;
2020-09-04;20,05;20,20;20,25;20,30;20,15;20,15;20,221;10843999;219273837,45;12;
2020-09-03;20,15;20,25;20,20;20,20;20,15;20,20;20,184;3039703;61352000,6;4;
2020-09-02;20,15;20,40;20,25;20,25;20,10;20,10;20,249;652777;13218317,7;3;
2020-09-01;19,95;20,25;;;;20,15;;;;0;
2020-08-31;19,95;20,15;20,15;20,15;20,05;20,15;20,057;3034777;60867838,85;5;
2020-08-28;20,00;20,25;20,25;20,25;20,25;20,25;20,25;3000000;60750000;4;
2020-08-27;19,90;20,15;20,05;20,15;20,00;20,00;20,056;5903340;118399021,65;8;
2020-08-26;19,75;20,00;19,875;19,875;19,875;19,875;19,875;2750000;54656250;2;
2020-08-25;19,85;20,05;19,80;19,90;19,75;19,90;19,822;1429079;28327785,85;9;
2020-08-24;20,05;20,25;;;;20,25;;;;0;
2020-08-21;20,20;20,35;20,25;20,25;20,25;20,25;20,25;1000000;20250000;1;
2020-08-20;20,20;20,40;20,35;20,35;20,30;20,35;20,347;7350277;149552183,65;9;
2020-08-19;19,95;20,15;20,05;20,10;20,05;20,05;20,067;6000000;120400000;3;
2020-08-18;20,00;20,15;19,95;20,10;19,95;20,10;20,033;3004700;60194470;4;
2020-08-17;19,90;20,05;19,90;20,00;19,80;20,00;19,919;2995490;59666256,75;11;
2020-08-14;20,10;20,35;20,60;20,60;20,25;20,25;20,455;1617781;33091629;8;
2020-08-13;20,65;20,85;20,85;20,85;20,80;20,85;20,836;109442;2280365,7;3;
2020-08-12;20,65;20,85;20,95;21,00;20,85;20,85;20,864;2217706;46269320,05;5;
2020-08-11;20,75;21,05;20,65;21,35;20,65;20,85;20,962;9699690;203320560,3;25;
2020-08-10;20,35;20,60;20,30;20,55;20,25;20,55;20,364;2352517;47907417,85;14;
2020-08-07;20,05;20,25;20,55;20,55;20,10;20,10;20,343;1576684;32074827,3;11;
2020-08-06;20,35;20,65;20,35;20,65;20,35;20,65;20,53;2371904;48694493,2;14;
2020-08-05;20,00;20,30;20,30;20,30;20,30;20,30;20,30;50000;1015000;1;
2020-08-04;20,00;20,30;20,05;20,15;20,05;20,15;20,104;764534;15369933;3;
2020-07-31;19,85;20,10;19,85;20,00;19,85;20,00;19,881;6303770;125325003,75;6;
2020-07-30;19,55;19,65;19,95;19,95;19,60;19,60;19,745;2727340;53850023,4;7;
2020-07-29;19,90;20,10;20,00;20,05;19,90;20,05;19,962;1881358;37554807,2;6;
2020-07-28;20,15;20,35;20,55;20,70;20,20;20,20;20,548;5493029;112872012,55;11;
2020-07-27;20,55;20,75;;;;20,70;;;;0;
2020-07-24;20,60;20,80;20,75;20,85;20,70;20,70;20,742;2388903;49608011,4;7;
2020-07-23;20,70;20,80;20,70;20,85;20,70;20,75;20,756;5396010;112000370,45;12;
2020-07-22;20,30;20,45;;;;20,45;;;;0;
2020-07-21;20,25;20,45;20,45;20,45;20,45;20,45;20,45;15000;306750;1;
2020-07-20;20,20;20,40;20,20;20,30;20,20;20,30;20,294;1065000;21613000;2;
2020-07-17;20,25;20,45;20,25;20,50;20,25;20,30;20,325;4152355;84396259,85;14;
2020-07-16;20,15;20,25;20,25;20,25;20,20;20,20;20,217;329629;6664061,35;2;
2020-07-15;20,25;20,40;20,30;20,30;20,30;20,30;20,30;1500000;30450000;1;
2020-07-14;20,20;20,40;;;;20,42;;;;0;
2020-07-13;20,35;20,50;20,45;20,45;20,42;20,42;20,449;205000;4192100;2;
2020-07-10;20,35;20,50;20,30;20,50;20,30;20,50;20,357;697561;14200000,5;3;
2020-07-09;19,85;20,00;20,05;20,05;20,00;20,00;20,014;1249103;25000015,1;3;
2020-07-08;20,05;20,15;;;;20,05;;;;0;
2020-07-07;20,05;20,15;20,10;20,10;20,05;20,05;20,051;162217;3252620,85;2;
2020-07-06;20,05;20,15;20,05;20,10;20,05;20,10;20,091;60504;1215605,2;2;
2020-07-03;20,05;20,15;20,05;20,10;20,05;20,10;20,058;240000;4814000;3;
2020-07-02;20,05;20,20;20,20;20,20;20,05;20,05;20,159;69066;1392273,3;2;
2020-07-01;20,05;20,35;20,25;20,25;20,05;20,05;20,166;1161500;23441660,85;6;
2020-06-30;20,20;20,40;20,30;20,30;20,30;20,30;20,30;135307;2746732,1;2;
2020-06-29;20,25;20,35;20,30;20,30;20,30;20,30;20,30;1586500;32203355;2;
2020-06-26;20,20;20,40;20,45;20,45;20,30;20,30;20,346;310255;6312479,75;3;
2020-06-25;20,55;20,80;20,675;20,80;20,60;20,60;20,689;5650006;116890041;7;
2020-06-24;20,55;20,80;20,70;21,00;20,65;20,65;20,79;11534158;239791956,9;19;
2020-06-23;20,15;20,45;20,225;20,35;20,225;20,35;20,288;5000000;101437500;3;
2020-06-22;20,20;20,35;20,05;20,20;20,00;20,20;20,11;5000281;100559136,65;9;
2020-06-19;20,05;20,25;20,00;20,20;20,00;20,10;20,094;6310780;126810743;10;
2020-06-18;19,80;20,00;19,56;19,85;19,55;19,85;19,617;4739130;92966509;8;
2020-06-16;19,40;19,60;19,40;19,55;19,40;19,55;19,456;2420454;47093097,2;11;
2020-06-15;19,05;19,30;18,85;19,10;18,70;19,10;18,993;5733835;108900010,3;12;
2020-06-12;18,90;19,15;19,175;19,175;18,85;19,05;19,059;10244446;194921413,2;15;
2020-06-11;19,20;19,40;19,20;19,25;19,10;19,225;19,181;10305481;197673150,7;18;
2020-06-10;19,55;19,75;20,00;20,00;19,55;19,55;19,869;3314976;65865091,6;8;
2020-06-09;19,80;20,00;;;;20,00;;;;0;
2020-06-08;19,85;20,05;20,20;20,20;19,95;20,00;20,005;4249884;85018120,1;8;
