SYN;Sýn;telecom;
Date;Bid;Ask;Opening price;High price;Low price;Closing price;Average price;Total volume;Turnover;Trades;
2020-11-13;33,35;34,20;34,00;34,00;34,00;34,00;34,00;130000;4420000;2;
2020-11-12;33,40;34,20;34,00;34,00;34,00;34,00;34,00;5500;187000;1;
2020-11-11;33,35;34,20;34,20;34,65;33,80;33,80;34,016;844361;28722880,9;13;
2020-11-10;33,60;34,50;33,65;33,70;33,60;33,60;33,602;1074091;36091208,55;9;
2020-11-09;33,90;34,90;34,05;34,90;33,90;33,90;34,438;3488832;120148579;20;
2020-11-06;33,15;34,10;33,25;33,50;32,90;33,50;33,27;1252987;41687102,45;14;
2020-11-05;33,10;34,00;34,45;34,45;31,15;34,00;32,593;5440771;177329805,7;40;
2020-11-04;34,80;35,75;35,70;35,70;35,70;35,70;35,70;1005000;35928500;3;
2020-11-03;34,75;35,70;;;;35,60;;;;0;
2020-11-02;34,75;35,60;35,00;35,60;34,75;35,60;34,996;34261;1198987,5;3;
2020-10-30;35,00;35,20;35,20;35,20;35,00;35,00;35,028;29000;1015800;2;
2020-10-29;34,60;35,60;35,10;35,10;35,10;35,10;35,10;300000;10530000;1;
2020-10-28;34,75;35,50;34,85;34,85;34,75;34,75;34,806;131915;4591437,95;4;
2020-10-27;35,10;36,00;35,20;35,20;35,10;35,10;35,119;901805;31659155,5;5;
2020-10-26;35,10;36,85;36,40;36,40;35,70;35,70;36,046;893988;32225047,6;12;
2020-10-23;36,70;37,50;40,00;40,00;36,15;37,00;38,525;4744736;183248397,35;56;
2020-10-22;34,20;34,60;34,70;34,70;34,45;34,45;34,454;2028500;69888950;2;
2020-10-21;34,25;34,65;33,90;34,50;33,90;34,50;34,495;4814734;166086023;9;
2020-10-20;33,90;34,50;34,10;34,55;33,90;33,90;34,257;712706;24415018,7;10;
2020-10-19;33,70;34,05;33,00;33,90;33,00;33,90;33,584;2522646;84719218,7;12;
2020-10-16;32,30;32,85;32,15;32,60;32,15;32,60;32,241;2193316;70764990,8;14;
2020-10-15;31,70;32,25;32,25;32,25;32,10;32,15;32,163;656154;21103793,4;7;
2020-10-14;31,85;32,00;31,45;32,00;31,45;31,90;31,84;4105756;130726687,5;24;
2020-10-13;30,50;31,30;30,25;31,20;30,25;31,20;30,602;1593833;48774539,75;16;
2020-10-12;30,05;30,20;29,70;30,10;29,70;30,10;29,964;1855959;55611865,9;5;
2020-10-09;29,30;29,65;29,55;29,65;29,55;29,65;29,645;273000;8093150;5;
2020-10-08;29,30;29,65;29,50;29,55;29,50;29,55;29,544;425018;12556841,2;3;
2020-10-07;29,05;29,50;29,10;29,10;29,10;29,10;29,10;518500;15088350;2;
2020-10-06;28,85;29,25;;;;28,95;;;;0;
2020-10-05;28,80;29,00;;;;28,95;;;;0;
2020-10-02;28,85;29,55;;;;28,95;;;;0;
2020-10-01;28,95;29,50;29,15;29,15;28,95;28,95;29,034;275538;8000015,6;6;
2020-09-30;29,15;29,80;29,35;29,35;29,35;29,35;29,35;590000;17316500;1;
2020-09-29;28,90;29,55;;;;28,90;;;;0;
2020-09-28;28,90;29,55;;;;28,90;;;;0;
2020-09-25;28,85;29,60;28,95;28,95;28,90;28,90;28,901;351897;10170237,8;4;
2020-09-24;28,90;29,55;;;;29,00;;;;0;
2020-09-23;28,95;29,65;29,30;29,60;29,00;29,00;29,354;39000;1144800;5;
2020-09-22;28,90;29,40;29,30;29,30;29,30;29,30;29,30;100000;2930000;1;
2020-09-21;28,95;29,75;29,20;29,70;28,95;28,95;29,209;388302;11341708,35;9;
2020-09-18;30,30;31,10;30,55;30,55;30,30;30,30;30,402;200000;6080295,25;6;
2020-09-17;30,55;31,10;;;;30,55;;;;0;
2020-09-16;30,55;31,10;30,55;30,55;30,55;30,55;30,55;13000;397150;1;
2020-09-15;30,55;31,00;30,60;30,60;30,60;30,60;30,60;200000;6120000;1;
2020-09-14;30,40;31,00;31,10;31,10;31,10;31,10;31,10;16100;500710;1;
2020-09-11;30,25;30,80;29,85;30,95;29,85;30,95;30,372;3695478;112239483,4;7;
2020-09-10;29,40;29,90;28,75;29,50;28,75;29,50;29,365;3148346;92450395,15;9;
2020-09-09;28,00;28,65;27,90;28,65;27,75;28,65;28,057;4905616;137621328,9;11;
2020-09-08;27,25;27,90;27,60;27,70;27,55;27,70;27,60;854055;23572188,05;8;
2020-09-07;26,95;27,65;;;;27,00;;;;0;
2020-09-04;26,95;27,80;27,85;27,85;27,00;27,00;27,503;1108801;30495040,2;17;
2020-09-03;27,00;28,60;27,95;28,525;27,95;27,95;28,211;1059744;29896753,8;15;
2020-09-02;27,40;27,90;27,40;27,90;27,40;27,90;27,422;5276500;143006650;6;
2020-09-01;27,00;27,50;;;;27,30;;;;0;
2020-08-31;27,00;27,30;27,20;27,30;27,20;27,30;27,201;1315038;35770127,6;5;
2020-08-28;27,00;27,65;27,00;27,65;27,00;27,20;27,307;359842;9826096,3;4;
2020-08-27;26,90;27,80;26,60;27,25;26,60;27,00;26,993;6974297;187025394;15;
2020-08-26;23,20;23,35;23,20;23,30;23,20;23,30;23,267;752000;17496400;3;
2020-08-25;23,20;23,35;23,45;23,45;23,20;23,35;23,339;1149200;26932061,85;11;
2020-08-24;23,55;23,70;23,60;23,60;23,60;23,60;23,60;500000;11800000;1;
2020-08-21;23,65;23,70;23,75;23,75;23,50;23,70;23,639;579741;13704666,35;7;
2020-08-20;23,75;23,90;;;;23,85;;;;0;
2020-08-19;23,65;23,90;23,85;23,85;23,85;23,85;23,85;1000000;23850000;1;
2020-08-18;23,75;24,05;23,80;23,80;23,75;23,75;23,775;47500;1129301,45;3;
2020-08-17;23,80;24,05;;;;23,95;;;;0;
2020-08-14;23,80;24,05;24,15;24,15;23,95;23,95;24,018;318010;7638037;6;
2020-08-13;24,15;24,40;24,20;24,20;24,20;24,20;24,20;4000;96800;1;
2020-08-12;23,90;24,10;23,80;24,10;23,80;24,10;23,88;13800;329540;3;
2020-08-11;23,80;23,90;23,90;23,90;23,80;23,80;23,867;1500000;35800000;2;
2020-08-10;23,60;23,90;;;;23,65;;;;0;
