TM;Tryggingamiðstöðin;insurance;
Date;Bid;Ask;Opening price;High price;Low price;Closing price;Average price;Total volume;Turnover;Trades;
2020-11-13;44,40;45,00;44,50;44,55;44,50;44,55;44,517;1500000;66775000;3;
2020-11-12;44,55;45,00;44,90;45,00;44,00;45,00;44,513;3560000;158464500;10;
2020-11-11;44,45;44,90;43,85;45,30;43,85;44,90;44,507;6006000;267309200;14;
2020-11-10;43,30;43,85;43,45;43,85;43,45;43,50;43,452;1011500;43952091;5;
2020-11-09;42,90;43,45;42,10;43,45;42,10;43,45;42,548;2275000;96797250;6;
2020-11-06;41,40;41,85;41,50;41,60;41,50;41,60;41,55;1000000;41550000;2;
2020-11-05;40,90;41,50;40,90;41,00;40,90;41,00;40,984;2981350;122187215;3;
2020-11-04;40,40;40,90;40,90;40,90;40,80;40,80;40,801;753650;30749285;2;
2020-11-03;40,40;40,90;40,30;40,80;40,30;40,80;40,73;1517000;61787600;6;
2020-11-02;40,15;40,60;40,35;40,60;40,35;40,55;40,493;3516700;142401435;5;
2020-10-30;40,10;40,60;40,65;41,00;40,40;40,40;40,496;3132000;126833850;12;
2020-10-29;39,85;40,25;39,90;40,20;39,85;39,85;40,048;2017500;80797375;6;
2020-10-28;39,45;39,85;39,65;39,65;39,45;39,45;39,587;735900;29131255;5;
2020-10-27;39,45;40,00;40,00;40,00;40,00;40,00;40,00;1006300;40252000;2;
2020-10-26;39,40;40,00;40,10;40,10;39,70;39,70;39,969;1523181;60879558,1;6;
2020-10-23;40,30;40,90;39,50;40,70;39,50;40,70;39,917;3328500;132864950;11;
2020-10-22;39,10;39,50;;;;39,40;;;;0;
2020-10-21;39,35;39,40;39,35;39,40;39,35;39,40;39,399;263431;10378859,85;3;
2020-10-20;39,20;39,40;39,40;39,40;39,30;39,35;39,321;1899000;74789100;5;
2020-10-19;38,90;39,40;39,40;39,40;39,15;39,15;39,152;2015000;78891000;2;
2020-10-16;38,90;39,40;39,25;39,375;39,15;39,15;39,20;1006000;39435642,5;4;
2020-10-15;38,70;39,25;38,90;39,00;38,60;39,00;38,855;3637912;141350618,2;10;
2020-10-14;38,90;39,45;39,30;39,45;38,90;39,45;39,249;2302000;90350300;7;
2020-10-13;38,90;39,20;38,95;39,10;38,50;38,90;39,007;3427400;133691735;9;
2020-10-12;38,50;39,05;38,50;38,50;38,50;38,50;38,50;10100000;389350000;2;
2020-10-09;38,55;39,00;38,95;39,175;38,55;38,55;39,05;5525000;215751250;8;
2020-10-08;38,40;38,95;37,50;38,95;37,50;38,95;38,228;3532965;135058986,75;8;
2020-10-07;36,50;;36,75;37,05;36,75;37,05;36,934;1530000;56508500;4;
2020-10-06;36,40;36,75;36,70;36,70;36,70;36,70;36,70;2500000;91750000;3;
2020-10-05;36,80;37,25;37,20;37,20;37,00;37,00;37,067;3000000;111200000;2;
2020-10-02;36,75;37,15;36,00;37,20;36,00;37,20;36,827;3022500;111310000;8;
2020-10-01;36,00;36,40;36,50;36,50;35,90;36,00;36,439;1525500;55467700;5;
2020-09-30;36,50;36,85;36,30;36,85;36,20;36,85;36,384;4432273;161273449,9;12;
2020-09-29;35,85;36,30;35,90;36,30;35,50;36,30;35,851;9184150;329264450;19;
2020-09-28;34,50;35,00;34,70;34,70;34,70;34,70;34,70;502700;17443690;2;
2020-09-25;34,40;34,90;34,40;34,70;34,40;34,70;34,413;60528;2082921,6;2;
2020-09-24;34,65;34,90;34,65;34,90;34,65;34,90;34,775;1002500;34861250;3;
2020-09-23;34,90;35,05;34,95;34,95;34,90;34,90;34,919;1350000;47140000;2;
