VIS;Vís;insurance;
Date;Bid;Ask;Opening price;High price;Low price;Closing price;Average price;Total volume;Turnover;Trades;
2020-11-13;12,40;12,53;12,445;12,53;12,445;12,52;12,49;8800000;109913000;4;
2020-11-12;12,37;12,53;12,63;12,65;12,40;12,53;12,575;28900000;363574500;12;
2020-11-11;12,52;12,59;12,525;12,59;12,43;12,55;12,532;28603367;358459351,81;18;
2020-11-10;12,41;12,56;12,90;12,90;12,55;12,56;12,721;8261000;105081800;11;
2020-11-09;12,97;13,10;12,99;13,26;12,96;13,00;13,043;35521018;462919111,39;18;
2020-11-06;12,65;12,84;12,61;12,84;12,61;12,84;12,783;8585028;109742505,32;8;
2020-11-05;12,58;12,73;12,46;12,655;12,46;12,655;12,561;29909000;375685140;11;
2020-11-04;12,42;12,55;12,50;12,57;12,42;12,55;12,54;14520000;182083400;6;
2020-11-03;12,39;12,49;12,31;12,49;12,31;12,48;12,39;24496122;303496095,93;11;
2020-11-02;12,10;12,28;12,20;12,23;12,20;12,20;12,207;6536770;79793054;9;
2020-10-30;12,03;12,21;12,31;12,38;12,10;12,15;12,267;26699995;326708438,45;19;
2020-10-29;11,98;12,08;12,04;12,05;12,04;12,05;12,04;3540280;42625374;4;
2020-10-28;11,90;12,03;11,90;12,06;11,90;11,90;12,005;9830800;118019520;12;
2020-10-27;11,95;12,11;;;;12,04;;;;0;
2020-10-26;12,00;12,13;12,28;12,28;12,04;12,04;12,167;10892014;132518496,36;11;
2020-10-23;12,24;12,35;12,18;12,35;12,18;12,34;12,291;54174108;661220915,19;26;
2020-10-22;11,95;12,06;12,05;12,20;12,02;12,025;12,075;34188000;412297800;10;
2020-10-21;11,91;12,02;11,84;12,00;11,84;11,97;11,943;22092900;263848010;12;
2020-10-20;11,84;11,90;11,84;11,92;11,76;11,90;11,902;17194000;204335000;9;
2020-10-19;11,67;11,84;11,50;11,75;11,50;11,745;11,696;12110000;141639500;7;
2020-10-16;11,50;11,63;11,59;11,70;11,55;11,55;11,67;70965095;828180573,5;18;
2020-10-15;11,42;11,56;11,43;11,54;11,38;11,495;11,468;38966500;446606485;26;
2020-10-14;11,31;11,43;11,29;11,43;11,29;11,32;11,348;25495200;286354001;16;
2020-10-13;10,97;11,07;10,96;11,06;10,90;11,00;10,994;42474164;466959708,6;25;
2020-10-12;10,83;10,95;10,86;10,95;10,81;10,95;10,888;22349967;243355615,91;21;
2020-10-09;10,82;10,96;10,71;10,90;10,71;10,90;10,842;34230000;371115300;17;
2020-10-08;10,65;10,79;10,55;10,71;10,55;10,71;10,62;15290000;162378500;7;
2020-10-07;10,45;10,55;10,37;10,47;10,37;10,47;10,421;3038285;31660493,95;5;
2020-10-06;10,40;10,50;10,50;10,50;10,45;10,45;10,452;6510000;68045000;3;
2020-10-05;10,50;10,62;;;;10,60;;;;0;
2020-10-02;10,55;10,63;10,60;10,60;10,60;10,60;10,60;10000000;106000000;1;
2020-10-01;10,50;10,63;10,65;10,65;10,55;10,55;10,638;12500000;132975000;4;
2020-09-30;10,65;10,80;;;;10,70;;;;0;
2020-09-29;10,65;10,79;10,80;10,80;10,70;10,70;10,711;13514000;144749100;4;
2020-09-28;10,62;10,73;10,73;10,73;10,62;10,675;10,702;4008500;42900682,5;9;
2020-09-25;10,58;10,73;10,59;10,65;10,50;10,65;10,599;9301033;98578546,5;15;
2020-09-24;10,59;10,69;10,60;10,64;10,60;10,60;10,639;6607400;70298440;8;
2020-09-23;10,50;10,64;10,76;10,76;10,58;10,58;10,658;9039000;96339960;7;
2020-09-22;10,55;10,70;10,55;10,68;10,55;10,68;10,599;13411871;142147782,28;5;
2020-09-21;10,44;10,55;10,59;10,59;10,46;10,50;10,516;4059400;42687200;10;
2020-09-18;10,60;10,70;10,81;10,81;10,50;10,645;10,663;16564250;176627125;8;
2020-09-17;10,75;10,89;10,73;11,00;10,73;10,85;10,846;11199513;121468841,7;17;
2020-09-16;10,67;10,75;10,67;10,81;10,67;10,70;10,695;70500;753996;4;
2020-09-15;10,67;10,81;10,65;10,75;10,63;10,75;10,748;1526700;16409221;4;
